POPULASI AWAL 
POWER OUTPUT 
	|Unit1	Unit2	Unit3	Unit4	Unit5	Unit6	Unit7	Unit8	Unit9	Unit10	Unit11	Unit12	Unit13	Unit14	Unit15	Unit16	Unit17	Unit18	Unit19	Unit20	Unit21	Unit22	Unit23	Unit24	Unit25	Unit26	
Jam 22	|12	12	12	12	12	20	20	20	20	76	76	76	76	100	100	100	155	155	155	155	197	197	197	350	400	400	
Jam 23	|12	12	12	12	12	20	20	20	20	76	76	76	76	100	100	100	155	155	155	155	197	197	197	350	400	400	
Jam 24	|12	12	12	12	12	20	20	20	20	76	76	76	76	100	100	100	155	155	155	155	197	197	197	350	400	400	


STATUS UNIT 
Kromosom 1:
Status Unit 
	|Unit1	Unit2	Unit3	Unit4	Unit5	Unit6	Unit7	Unit8	Unit9	Unit10	Unit11	Unit12	Unit13	Unit14	Unit15	Unit16	Unit17	Unit18	Unit19	Unit20	Unit21	Unit22	Unit23	Unit24	Unit25	Unit26	
Jam 1	|0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	0	1	1	1	1	1	1	1	0	1	
Jam 2	|0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	
Jam 3	|0	1	1	0	1	0	0	1	1	1	0	1	0	1	1	1	1	0	1	0	1	0	1	1	1	1	
Jam 4	|1	0	1	0	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	1	
Jam 5	|1	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	
Jam 6	|1	1	1	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	0	1	1	1	1	1	1	1	
Jam 7	|0	0	0	0	0	1	1	0	1	0	0	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	
Jam 8	|1	1	1	1	1	0	1	0	1	0	1	1	0	1	1	1	0	0	0	0	1	0	1	0	1	1	
Jam 9	|0	1	0	0	0	0	0	1	0	1	1	1	1	0	1	1	1	0	0	1	0	1	0	0	0	0	
Jam 10	|0	0	0	0	1	1	0	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	0	1	1	1	
Jam 11	|1	0	1	1	1	1	0	1	1	1	0	0	1	1	0	0	1	1	0	0	1	1	1	1	1	0	
Jam 12	|0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	0	0	1	1	
Jam 13	|1	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	0	0	0	
Jam 14	|0	1	0	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0	1	1	1	1	0	0	0	1	
Jam 15	|1	1	1	1	0	0	0	1	0	1	1	0	0	1	1	0	0	1	1	1	0	1	0	0	0	1	
Jam 16	|1	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	1	0	1	1	
Jam 17	|1	1	0	1	1	0	0	0	1	1	0	1	0	0	1	1	1	1	1	0	1	0	1	0	1	1	
Jam 18	|0	1	0	0	1	0	0	1	1	1	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	
Jam 19	|1	0	0	0	1	0	1	1	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1	
Jam 20	|1	0	0	1	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	0	1	1	0	0	
Jam 21	|1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	0	1	1	0	0	0	0	1	1	0	1	
Jam 22	|0	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	
Jam 23	|0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	1	0	1	0	0	1	0	
Jam 24	|0	1	0	1	1	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	1	1	0	0	
Kromosom 2:
Status Unit 
	|Unit1	Unit2	Unit3	Unit4	Unit5	Unit6	Unit7	Unit8	Unit9	Unit10	Unit11	Unit12	Unit13	Unit14	Unit15	Unit16	Unit17	Unit18	Unit19	Unit20	Unit21	Unit22	Unit23	Unit24	Unit25	Unit26	
Jam 1	|0	1	0	1	0	1	0	0	1	0	0	1	1	1	0	1	0	0	0	1	0	0	0	1	1	1	
Jam 2	|1	1	0	1	0	1	0	1	0	0	1	0	1	1	1	0	1	1	0	0	0	1	0	0	1	1	
Jam 3	|1	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	
Jam 4	|1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	0	1	1	1	0	0	1	1	1	
Jam 5	|0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	
Jam 6	|0	0	1	0	1	1	0	1	1	0	1	0	0	1	1	1	0	1	0	0	0	1	0	0	1	1	
Jam 7	|0	0	1	1	0	0	1	0	0	0	0	0	1	0	1	1	1	1	1	0	1	0	1	0	1	1	
Jam 8	|0	1	1	0	1	0	1	0	1	1	0	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	
Jam 9	|1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	1	0	0	0	1	1	0	0	1	0	
Jam 10	|1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	1	0	1	
Jam 11	|1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	0	0	0	1	1	0	1	0	0	
Jam 12	|0	1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	1	
Jam 13	|1	1	0	0	0	1	1	1	1	0	1	0	1	0	1	1	0	1	1	0	1	1	1	0	1	1	
Jam 14	|1	1	0	0	0	1	1	0	1	0	1	1	0	1	1	0	1	0	0	1	1	0	0	1	1	1	
Jam 15	|0	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	
Jam 16	|1	1	1	0	0	0	1	0	1	1	1	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1	
Jam 17	|1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	
Jam 18	|0	0	1	1	1	1	1	0	1	0	1	1	0	1	0	1	1	1	0	1	1	1	0	0	1	0	
Jam 19	|1	1	1	0	1	1	0	0	1	0	0	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	
Jam 20	|1	1	0	1	0	0	1	1	1	1	1	0	1	0	1	0	1	0	1	1	1	1	0	1	1	1	
Jam 21	|0	0	1	0	1	0	0	0	1	0	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	
Jam 22	|1	1	0	1	0	0	0	0	1	1	1	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	
Jam 23	|0	0	0	1	0	1	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	
Jam 24	|0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	0	1	1	1	0	1	1	0	0	0	0	
Kromosom 3:
Status Unit 
	|Unit1	Unit2	Unit3	Unit4	Unit5	Unit6	Unit7	Unit8	Unit9	Unit10	Unit11	Unit12	Unit13	Unit14	Unit15	Unit16	Unit17	Unit18	Unit19	Unit20	Unit21	Unit22	Unit23	Unit24	Unit25	Unit26	
Jam 1	|0	1	0	1	1	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	0	
Jam 2	|0	1	0	1	0	1	0	1	1	1	1	1	0	1	1	1	0	0	1	0	1	0	1	0	1	1	
Jam 3	|0	1	1	0	0	0	1	1	0	1	0	0	1	1	1	1	1	0	0	0	0	0	1	0	0	0	
Jam 4	|1	1	0	0	1	1	1	0	0	0	0	1	0	1	1	0	1	0	1	0	0	0	1	1	0	0	
Jam 5	|1	1	1	1	1	0	0	0	1	0	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	0	
Jam 6	|1	1	0	1	0	1	0	0	1	0	1	0	0	1	1	0	1	0	1	1	0	1	1	0	1	0	
Jam 7	|1	1	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	0	1	0	1	
Jam 8	|1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	
Jam 9	|1	1	0	0	0	1	0	1	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	1	0	1	
Jam 10	|1	0	0	1	0	0	0	0	1	1	0	1	0	1	0	1	1	1	0	1	1	0	0	1	0	0	
Jam 11	|0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	1	1	0	1	
Jam 12	|1	1	0	1	0	0	0	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	1	1	0	1	
Jam 13	|0	0	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	
Jam 14	|0	0	1	0	0	0	1	1	0	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	1	0	
Jam 15	|1	0	1	1	0	1	1	0	1	0	1	0	1	0	1	1	1	0	1	1	1	0	1	0	1	0	
Jam 16	|0	0	1	0	1	1	1	0	1	0	1	0	1	0	0	1	1	0	0	1	1	1	0	1	0	0	
Jam 17	|0	1	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	1	0	0	1	
Jam 18	|1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	0	1	0	0	1	0	1	0	0	1	0	
Jam 19	|0	0	0	1	0	0	1	1	1	1	1	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	
Jam 20	|0	1	0	1	0	0	0	1	0	0	1	0	0	1	1	0	1	1	0	0	0	0	1	1	1	0	
Jam 21	|0	0	0	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	
Jam 22	|0	1	0	1	0	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	0	1	0	1	1	1	
Jam 23	|0	1	0	1	0	1	1	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	0	1	1	
Jam 24	|0	1	1	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	1	
Kromosom 4:
Status Unit 
	|Unit1	Unit2	Unit3	Unit4	Unit5	Unit6	Unit7	Unit8	Unit9	Unit10	Unit11	Unit12	Unit13	Unit14	Unit15	Unit16	Unit17	Unit18	Unit19	Unit20	Unit21	Unit22	Unit23	Unit24	Unit25	Unit26	
Jam 1	|0	0	1	1	0	1	0	1	1	0	1	1	1	1	0	1	1	0	1	0	0	1	1	0	0	0	
Jam 2	|1	0	1	1	0	1	1	1	0	0	1	1	0	0	0	0	0	1	0	1	1	0	0	0	1	0	
Jam 3	|1	0	0	0	0	1	0	0	1	1	0	1	1	0	1	0	1	0	0	0	1	1	0	0	0	0	
Jam 4	|0	1	0	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	0	0	0	1	0	1	0	0	
Jam 5	|0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	1	1	0	0	1	1	0	
Jam 6	|0	1	1	0	0	1	1	0	0	1	1	1	0	1	0	0	0	1	0	1	0	1	1	0	1	0	
Jam 7	|1	0	1	0	0	1	1	0	1	1	1	1	0	1	1	0	1	0	1	0	1	1	1	0	1	0	
Jam 8	|1	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	1	1	0	1	1	0	1	1	0	0	
Jam 9	|1	1	0	0	1	1	0	0	0	1	1	1	1	0	0	1	0	0	0	1	1	0	0	0	1	0	
Jam 10	|1	1	1	1	1	0	1	1	1	0	1	1	0	0	1	1	0	1	0	0	1	0	1	1	1	1	
Jam 11	|1	0	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	
Jam 12	|0	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	0	1	1	0	0	1	1	1	
Jam 13	|0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1	0	1	0	1	0	
Jam 14	|1	1	0	1	1	0	1	0	0	1	0	1	1	1	1	1	1	0	0	0	0	1	1	0	0	0	
Jam 15	|1	0	1	1	0	0	0	0	0	1	0	1	1	1	0	0	1	0	1	0	1	1	0	1	0	0	
Jam 16	|1	0	0	1	0	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	1	1	1	1	0	0	
Jam 17	|1	0	1	0	0	1	0	1	1	0	0	1	1	1	0	0	1	0	1	0	1	1	0	1	1	0	
Jam 18	|1	1	1	1	0	1	0	0	0	1	0	0	0	1	1	1	0	1	1	1	1	1	0	0	1	0	
Jam 19	|0	0	0	1	0	0	0	1	0	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	0	
Jam 20	|1	1	1	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	0	1	
Jam 21	|1	0	1	1	0	1	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	1	1	
Jam 22	|0	0	0	0	1	1	0	1	0	0	1	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	
Jam 23	|0	1	1	0	1	0	1	0	1	1	1	1	1	0	1	0	1	0	1	1	0	1	0	0	0	1	
Jam 24	|0	0	1	1	1	1	1	0	1	1	0	0	1	1	0	1	0	1	1	0	1	1	1	1	1	0	
Kromosom 5:
Status Unit 
	|Unit1	Unit2	Unit3	Unit4	Unit5	Unit6	Unit7	Unit8	Unit9	Unit10	Unit11	Unit12	Unit13	Unit14	Unit15	Unit16	Unit17	Unit18	Unit19	Unit20	Unit21	Unit22	Unit23	Unit24	Unit25	Unit26	
Jam 1	|1	0	0	0	1	1	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	1	1	1	1	0	
Jam 2	|0	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	0	1	
Jam 3	|1	1	0	1	0	0	0	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	0	
Jam 4	|1	0	0	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	1	1	0	1	0	0	1	1	
Jam 5	|0	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	
Jam 6	|0	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	1	
Jam 7	|0	0	1	0	1	1	1	0	1	1	0	1	0	0	1	0	1	0	0	1	1	0	0	0	1	0	
Jam 8	|0	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	0	0	0	1	
Jam 9	|1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	1	0	
Jam 10	|0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	1	1	0	
Jam 11	|1	1	0	1	0	0	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	0	
Jam 12	|1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	1	0	0	1	1	0	1	0	1	1	0	
Jam 13	|1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	1	0	
Jam 14	|0	1	0	1	1	1	1	0	0	1	1	1	0	1	0	1	1	1	0	0	1	0	0	0	0	0	
Jam 15	|0	0	1	1	1	0	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	0	
Jam 16	|0	1	0	0	1	1	0	1	0	0	0	0	0	1	1	1	1	0	0	1	0	1	0	1	0	0	
Jam 17	|1	0	1	1	0	1	1	0	1	0	1	1	1	0	0	0	1	0	1	0	0	0	1	1	0	1	
Jam 18	|1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	0	0	0	1	
Jam 19	|0	0	1	1	0	0	1	0	1	0	1	1	0	0	0	1	0	0	1	0	1	1	1	0	1	1	
Jam 20	|0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	0	1	1	0	0	1	1	1	
Jam 21	|1	0	1	0	0	1	1	1	0	1	1	1	0	0	0	0	0	1	0	1	0	1	1	0	1	1	
Jam 22	|0	1	0	0	0	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	1	0	
Jam 23	|0	0	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	0	1	1	
Jam 24	|0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	1	1	0	0	1	1	0	1	1	1	1	
Kromosom 6:
Status Unit 
	|Unit1	Unit2	Unit3	Unit4	Unit5	Unit6	Unit7	Unit8	Unit9	Unit10	Unit11	Unit12	Unit13	Unit14	Unit15	Unit16	Unit17	Unit18	Unit19	Unit20	Unit21	Unit22	Unit23	Unit24	Unit25	Unit26	
Jam 1	|0	1	1	1	0	0	1	1	0	1	0	1	0	1	1	1	1	1	1	1	0	0	0	1	1	1	
Jam 2	|1	0	0	1	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	1	1	
Jam 3	|1	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	
Jam 4	|0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	1	0	1	0	0	1	1	0	0	1	1	
Jam 5	|0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	
Jam 6	|1	0	1	0	1	1	0	1	1	0	1	0	0	0	1	1	0	0	0	1	1	1	1	1	0	1	
Jam 7	|1	1	1	0	1	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	1	
Jam 8	|0	1	1	1	1	0	1	0	1	0	1	1	0	1	0	1	1	0	0	1	1	1	0	1	1	0	
Jam 9	|0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0	
Jam 10	|0	1	1	1	1	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	
Jam 11	|0	1	1	1	0	1	0	1	0	0	1	0	0	1	0	1	1	0	0	1	1	1	1	1	1	0	
Jam 12	|0	1	0	1	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	0	1	
Jam 13	|1	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	
Jam 14	|0	1	1	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	0	
Jam 15	|1	0	0	0	1	1	0	1	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	1	1	1	
Jam 16	|1	0	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1	0	0	1	1	0	1	
Jam 17	|1	1	1	0	1	1	0	0	0	1	0	1	0	1	0	0	1	0	0	1	0	1	1	1	0	1	
Jam 18	|1	0	1	0	0	1	1	0	1	1	0	1	0	1	1	1	0	1	0	1	0	0	1	0	0	1	
Jam 19	|0	1	1	1	1	1	0	0	0	1	0	0	1	1	0	1	1	0	1	0	0	1	1	0	1	1	
Jam 20	|1	1	0	1	0	0	0	1	0	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	
Jam 21	|0	1	1	0	1	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	1	0	
Jam 22	|1	1	1	1	0	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	0	0	0	1	
Jam 23	|1	1	0	1	0	1	1	1	0	0	0	0	0	1	0	1	0	1	1	1	0	0	0	0	1	0	
Jam 24	|1	0	1	1	1	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	0	1	1	0	0	1	
Kromosom 7:
Status Unit 
	|Unit1	Unit2	Unit3	Unit4	Unit5	Unit6	Unit7	Unit8	Unit9	Unit10	Unit11	Unit12	Unit13	Unit14	Unit15	Unit16	Unit17	Unit18	Unit19	Unit20	Unit21	Unit22	Unit23	Unit24	Unit25	Unit26	
Jam 1	|0	0	1	0	0	1	0	1	1	0	1	0	0	1	1	0	1	1	1	1	1	0	1	1	0	0	
Jam 2	|0	1	1	1	0	1	0	1	1	1	1	0	1	1	0	0	1	0	0	1	0	1	0	0	0	1	
Jam 3	|0	0	1	1	0	1	0	1	0	0	1	0	1	0	0	1	1	0	0	0	1	1	1	1	1	0	
Jam 4	|0	0	1	0	1	1	1	0	0	1	0	0	0	0	1	1	1	0	1	1	0	0	1	0	0	0	
Jam 5	|0	1	1	0	0	0	1	0	1	1	1	1	0	1	0	0	0	1	0	1	0	1	0	0	1	0	
Jam 6	|1	0	0	0	1	0	0	0	1	1	0	1	0	1	1	0	1	1	1	1	0	1	1	1	0	0	
Jam 7	|0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	
Jam 8	|0	0	1	0	0	1	1	1	0	1	0	1	1	1	0	0	1	1	1	0	0	0	1	1	1	0	
Jam 9	|0	0	0	1	1	0	0	1	1	0	1	1	0	1	0	1	1	1	1	1	0	1	0	1	0	1	
Jam 10	|1	0	1	0	0	1	0	0	1	1	1	1	1	0	1	0	1	0	0	0	1	0	1	1	0	0	
Jam 11	|1	1	0	0	1	1	0	1	1	0	1	0	0	1	0	0	1	0	1	1	0	0	0	0	1	0	
Jam 12	|0	0	1	1	1	1	1	0	1	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	
Jam 13	|1	0	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	1	1	1	1	
Jam 14	|1	1	0	0	1	1	0	1	0	0	1	0	0	1	1	0	1	1	0	1	1	1	0	0	1	0	
Jam 15	|1	0	0	1	0	1	1	1	0	1	0	0	1	1	1	0	1	1	1	1	0	0	0	1	0	0	
Jam 16	|1	1	0	1	0	1	1	0	1	1	0	1	0	0	1	1	0	1	1	1	0	1	0	0	1	0	
Jam 17	|0	0	1	1	0	0	0	1	1	1	1	1	0	0	1	0	0	0	1	1	0	0	1	0	0	1	
Jam 18	|0	1	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	1	
Jam 19	|0	0	1	1	1	1	1	0	1	0	1	1	1	0	1	0	0	1	0	0	0	1	0	0	1	0	
Jam 20	|1	1	1	0	0	1	0	0	0	0	1	0	0	1	1	0	1	1	0	1	1	0	1	0	1	0	
Jam 21	|1	0	1	1	0	1	1	0	1	0	0	1	1	1	1	0	1	0	1	0	0	0	0	1	0	1	
Jam 22	|0	1	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	1	1	
Jam 23	|1	0	0	1	0	1	0	1	0	1	1	1	1	1	0	1	1	1	0	0	1	1	0	1	1	0	
Jam 24	|0	0	1	0	1	1	1	0	1	1	0	1	1	1	0	1	1	0	1	0	0	1	1	1	1	1	
Kromosom 8:
Status Unit 
	|Unit1	Unit2	Unit3	Unit4	Unit5	Unit6	Unit7	Unit8	Unit9	Unit10	Unit11	Unit12	Unit13	Unit14	Unit15	Unit16	Unit17	Unit18	Unit19	Unit20	Unit21	Unit22	Unit23	Unit24	Unit25	Unit26	
Jam 1	|1	1	0	0	0	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	0	0	1	0	0	
Jam 2	|1	1	0	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	0	0	0	0	1	
Jam 3	|0	1	0	1	1	0	1	0	1	0	1	1	0	1	0	1	1	1	1	1	1	0	0	1	1	1	
Jam 4	|0	1	0	0	1	0	1	1	1	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	1	
Jam 5	|0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	1	0	0	1	0	0	1	0	
Jam 6	|1	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1	1	1	0	1	
Jam 7	|1	1	0	0	1	0	1	0	0	0	0	1	1	0	0	1	1	1	0	1	0	0	0	1	0	0	
Jam 8	|1	0	0	1	0	1	1	0	0	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	0	1	
Jam 9	|0	1	0	1	1	0	1	1	0	1	0	1	1	1	0	1	1	1	0	0	0	0	1	0	0	1	
Jam 10	|1	1	0	1	0	1	0	1	0	0	1	0	0	1	0	1	0	1	0	0	1	1	1	1	1	0	
Jam 11	|1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	
Jam 12	|1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	1	1	1	1	
Jam 13	|1	0	1	1	1	1	1	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	1	1	0	0	
Jam 14	|1	1	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	1	1	0	1	
Jam 15	|1	1	1	0	0	1	0	1	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	
Jam 16	|1	0	0	0	1	1	1	0	0	0	0	1	1	1	1	0	0	1	1	0	1	1	0	0	0	0	
